actorclass_graphic_row_id,actorclass_row_id,display_name_id,display_name_en,mainHand_packed_s32,mainHand_packed_u32_hex,mainHand_bits_31_30,mainHand_bits_29_20,mainHand_bits_19_10,mainHand_bits_9_0,offHand_packed_s32,offHand_packed_u32_hex,offHand_bits_31_30,offHand_bits_29_20,offHand_bits_19_10,offHand_bits_9_0,spMainHand_packed_s32,spMainHand_packed_u32_hex,spMainHand_bits_31_30,spMainHand_bits_29_20,spMainHand_bits_19_10,spMainHand_bits_9_0,spOffHand_packed_s32,spOffHand_packed_u32_hex,spOffHand_bits_31_30,spOffHand_bits_29_20,spOffHand_bits_19_10,spOffHand_bits_9_0,throwing_packed_s32,throwing_packed_u32_hex,throwing_bits_31_30,throwing_bits_29_20,throwing_bits_19_10,throwing_bits_9_0,pack_packed_s32,pack_packed_u32_hex,pack_bits_31_30,pack_bits_29_20,pack_bits_19_10,pack_bits_9_0,pouch_packed_s32,pouch_packed_u32_hex,pouch_bits_31_30,pouch_bits_29_20,pouch_bits_19_10,pouch_bits_9_0
1000001,1000001,1900006,Y'shtola,331351046,0x13C00406,0,316,1,6,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000002,1000002,1600179,Sthalmann,147850241,0x08D00401,0,141,1,1,243270686,0x0E80041E,0,232,1,30,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000004,1000004,1500015,Nunuba,147850241,0x08D00401,0,141,1,1,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000005,1000005,1600150,Rostnsthal,147850241,0x08D00401,0,141,1,1,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000008,1000008,1200028,Merodaulyn,147852300,0x08D00C0C,0,141,3,12,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000009,1000009,2300120,Yda,58723339,0x03800C0B,0,56,3,11,59771915,0x03900C0B,0,57,3,11,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000010,1000010,1400004,Papalymo,310379590,0x12800446,0,296,1,70,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000011,1000011,2000005,E-Sumi-Yan,347079691,0x14B0040B,0,331,1,11,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000013,1000013,1000297,Dunstan,168821810,0x0A100432,0,161,1,50,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
1000015,1000015,1900026,T'kebbe,168821770,0x0A10040A,0,161,1,10,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0,0,0x00000000,0,0,0,0
