field,source_column,packed_s32,packed_u32_hex,bits_31_30,bits_29_20,bits_19_10,bits_9_0,row_count
mainHand,0x19,0,0x00000000,0,0,0,0,5357
mainHand,0x19,1049600,0x00100400,0,1,1,0,3
mainHand,0x19,2134016,0x00209000,0,2,36,0,1
mainHand,0x19,2135040,0x00209400,0,2,37,0,1
mainHand,0x19,2136064,0x00209800,0,2,38,0,1
mainHand,0x19,32509952,0x01F01000,0,31,4,0,2
mainHand,0x19,58722304,0x03800800,0,56,2,0,3
mainHand,0x19,58722314,0x0380080A,0,56,2,10,1
mainHand,0x19,58722324,0x03800814,0,56,2,20,13
mainHand,0x19,58722334,0x0380081E,0,56,2,30,10
mainHand,0x19,58722344,0x03800828,0,56,2,40,5
mainHand,0x19,58722354,0x03800832,0,56,2,50,1
mainHand,0x19,58722355,0x03800833,0,56,2,51,6
mainHand,0x19,58723328,0x03800C00,0,56,3,0,1
mainHand,0x19,58723329,0x03800C01,0,56,3,1,8
mainHand,0x19,58723338,0x03800C0A,0,56,3,10,1
mainHand,0x19,58723339,0x03800C0B,0,56,3,11,9
mainHand,0x19,58723348,0x03800C14,0,56,3,20,25
mainHand,0x19,58723358,0x03800C1E,0,56,3,30,10
mainHand,0x19,58723368,0x03800C28,0,56,3,40,1
mainHand,0x19,58724352,0x03801000,0,56,4,0,27
mainHand,0x19,58724353,0x03801001,0,56,4,1,1
mainHand,0x19,58724354,0x03801002,0,56,4,2,1
mainHand,0x19,58724372,0x03801014,0,56,4,20,18
mainHand,0x19,58724382,0x0380101E,0,56,4,30,5
mainHand,0x19,58724393,0x03801029,0,56,4,41,2
mainHand,0x19,58724402,0x03801032,0,56,4,50,1
mainHand,0x19,59741184,0x038F9400,0,56,997,0,1
mainHand,0x19,60818432,0x03A00400,0,58,1,0,1
mainHand,0x19,60818442,0x03A0040A,0,58,1,10,2
mainHand,0x19,60818462,0x03A0041E,0,58,1,30,2
mainHand,0x19,60818472,0x03A00428,0,58,1,40,3
mainHand,0x19,60818482,0x03A00432,0,58,1,50,20
mainHand,0x19,60818492,0x03A0043C,0,58,1,60,1
mainHand,0x19,60818502,0x03A00446,0,58,1,70,3
mainHand,0x19,61867058,0x03B00432,0,59,1,50,2
mainHand,0x19,65012736,0x03E00400,0,62,1,0,3
mainHand,0x19,79692800,0x04C00400,0,76,1,0,1
mainHand,0x19,79692810,0x04C0040A,0,76,1,10,3
mainHand,0x19,79692820,0x04C00414,0,76,1,20,11
mainHand,0x19,79692840,0x04C00428,0,76,1,40,3
mainHand,0x19,79692850,0x04C00432,0,76,1,50,2
mainHand,0x19,79692860,0x04C0043C,0,76,1,60,16
mainHand,0x19,79692870,0x04C00446,0,76,1,70,1
mainHand,0x19,79692880,0x04C00450,0,76,1,80,11
mainHand,0x19,79692900,0x04C00464,0,76,1,100,4
mainHand,0x19,79692901,0x04C00465,0,76,1,101,2
mainHand,0x19,79692910,0x04C0046E,0,76,1,110,3
mainHand,0x19,79693824,0x04C00800,0,76,2,0,1
mainHand,0x19,79693825,0x04C00801,0,76,2,1,6
mainHand,0x19,79693826,0x04C00802,0,76,2,2,7
mainHand,0x19,79693827,0x04C00803,0,76,2,3,9
mainHand,0x19,79693834,0x04C0080A,0,76,2,10,3
mainHand,0x19,79693835,0x04C0080B,0,76,2,11,22
mainHand,0x19,79693844,0x04C00814,0,76,2,20,9
mainHand,0x19,79693845,0x04C00815,0,76,2,21,9
mainHand,0x19,79693855,0x04C0081F,0,76,2,31,1
mainHand,0x19,79693874,0x04C00832,0,76,2,50,8
mainHand,0x19,79693884,0x04C0083C,0,76,2,60,2
mainHand,0x19,79694848,0x04C00C00,0,76,3,0,21
mainHand,0x19,79694859,0x04C00C0B,0,76,3,11,1
mainHand,0x19,79694868,0x04C00C14,0,76,3,20,2
mainHand,0x19,79694869,0x04C00C15,0,76,3,21,28
mainHand,0x19,79695872,0x04C01000,0,76,4,0,1
mainHand,0x19,79695882,0x04C0100A,0,76,4,10,6
mainHand,0x19,79695883,0x04C0100B,0,76,4,11,18
mainHand,0x19,79695892,0x04C01014,0,76,4,20,9
mainHand,0x19,79695902,0x04C0101E,0,76,4,30,6
mainHand,0x19,79696936,0x04C01428,0,76,5,40,1
mainHand,0x19,79696966,0x04C01446,0,76,5,70,5
mainHand,0x19,79696976,0x04C01450,0,76,5,80,11
mainHand,0x19,79697920,0x04C01800,0,76,6,0,12
mainHand,0x19,79697930,0x04C0180A,0,76,6,10,19
mainHand,0x19,79697940,0x04C01814,0,76,6,20,33
mainHand,0x19,79697950,0x04C0181E,0,76,6,30,41
mainHand,0x19,79697960,0x04C01828,0,76,6,40,22
mainHand,0x19,79697970,0x04C01832,0,76,6,50,6
mainHand,0x19,79697980,0x04C0183C,0,76,6,60,25
mainHand,0x19,79698944,0x04C01C00,0,76,7,0,22
mainHand,0x19,79698945,0x04C01C01,0,76,7,1,15
mainHand,0x19,79698946,0x04C01C02,0,76,7,2,27
mainHand,0x19,79698947,0x04C01C03,0,76,7,3,17
mainHand,0x19,79698954,0x04C01C0A,0,76,7,10,13
mainHand,0x19,79700992,0x04C02400,0,76,9,0,2
mainHand,0x19,79702016,0x04C02800,0,76,10,0,2
mainHand,0x19,80712704,0x04CF9400,0,76,997,0,1
mainHand,0x19,80741376,0x04D00400,0,77,1,0,23
mainHand,0x19,80741386,0x04D0040A,0,77,1,10,11
mainHand,0x19,80741388,0x04D0040C,0,77,1,12,14
mainHand,0x19,80741396,0x04D00414,0,77,1,20,8
mainHand,0x19,80741406,0x04D0041E,0,77,1,30,5
mainHand,0x19,80741416,0x04D00428,0,77,1,40,4
mainHand,0x19,80741426,0x04D00432,0,77,1,50,2
mainHand,0x19,80741436,0x04D0043C,0,77,1,60,1
mainHand,0x19,147850240,0x08D00400,0,141,1,0,10
mainHand,0x19,147850241,0x08D00401,0,141,1,1,25
mainHand,0x19,147850242,0x08D00402,0,141,1,2,5
mainHand,0x19,147850260,0x08D00414,0,141,1,20,18
mainHand,0x19,147850270,0x08D0041E,0,141,1,30,5
mainHand,0x19,147850280,0x08D00428,0,141,1,40,10
mainHand,0x19,147850290,0x08D00432,0,141,1,50,2
mainHand,0x19,147850300,0x08D0043C,0,141,1,60,21
mainHand,0x19,147851264,0x08D00800,0,141,2,0,5
mainHand,0x19,147851265,0x08D00801,0,141,2,1,4
mainHand,0x19,147851266,0x08D00802,0,141,2,2,2
mainHand,0x19,147851274,0x08D0080A,0,141,2,10,7
mainHand,0x19,147851275,0x08D0080B,0,141,2,11,10
mainHand,0x19,147851276,0x08D0080C,0,141,2,12,31
mainHand,0x19,147851284,0x08D00814,0,141,2,20,1
mainHand,0x19,147851285,0x08D00815,0,141,2,21,6
mainHand,0x19,147851286,0x08D00816,0,141,2,22,21
mainHand,0x19,147851287,0x08D00817,0,141,2,23,6
mainHand,0x19,147852288,0x08D00C00,0,141,3,0,21
mainHand,0x19,147852289,0x08D00C01,0,141,3,1,12
mainHand,0x19,147852298,0x08D00C0A,0,141,3,10,17
mainHand,0x19,147852299,0x08D00C0B,0,141,3,11,2
mainHand,0x19,147852300,0x08D00C0C,0,141,3,12,3
mainHand,0x19,147852308,0x08D00C14,0,141,3,20,2
mainHand,0x19,147853312,0x08D01000,0,141,4,0,3
mainHand,0x19,147853313,0x08D01001,0,141,4,1,1
mainHand,0x19,147853322,0x08D0100A,0,141,4,10,8
mainHand,0x19,147853332,0x08D01014,0,141,4,20,3
mainHand,0x19,147853342,0x08D0101E,0,141,4,30,3
mainHand,0x19,147854356,0x08D01414,0,141,5,20,1
mainHand,0x19,147856384,0x08D01C00,0,141,7,0,3
mainHand,0x19,147859456,0x08D02800,0,141,10,0,1
mainHand,0x19,148870144,0x08DF9400,0,141,997,0,1
mainHand,0x19,148898866,0x08E00432,0,142,1,50,1
mainHand,0x19,168821760,0x0A100400,0,161,1,0,6
mainHand,0x19,168821761,0x0A100401,0,161,1,1,20
mainHand,0x19,168821770,0x0A10040A,0,161,1,10,25
mainHand,0x19,168821780,0x0A100414,0,161,1,20,54
mainHand,0x19,168821790,0x0A10041E,0,161,1,30,11
mainHand,0x19,168821800,0x0A100428,0,161,1,40,5
mainHand,0x19,168821810,0x0A100432,0,161,1,50,7
mainHand,0x19,168822784,0x0A100800,0,161,2,0,1
mainHand,0x19,168822785,0x0A100801,0,161,2,1,2
mainHand,0x19,168822794,0x0A10080A,0,161,2,10,5
mainHand,0x19,168822804,0x0A100814,0,161,2,20,7
mainHand,0x19,168822815,0x0A10081F,0,161,2,31,3
mainHand,0x19,168823808,0x0A100C00,0,161,3,0,5
mainHand,0x19,168823809,0x0A100C01,0,161,3,1,10
mainHand,0x19,168823811,0x0A100C03,0,161,3,3,22
mainHand,0x19,168823818,0x0A100C0A,0,161,3,10,1
mainHand,0x19,168823828,0x0A100C14,0,161,3,20,23
mainHand,0x19,168823829,0x0A100C15,0,161,3,21,2
mainHand,0x19,168823838,0x0A100C1E,0,161,3,30,8
mainHand,0x19,168823848,0x0A100C28,0,161,3,40,4
mainHand,0x19,168825856,0x0A101400,0,161,5,0,11
mainHand,0x19,168825857,0x0A101401,0,161,5,1,1
mainHand,0x19,168825858,0x0A101402,0,161,5,2,26
mainHand,0x19,168825866,0x0A10140A,0,161,5,10,10
mainHand,0x19,168825867,0x0A10140B,0,161,5,11,17
mainHand,0x19,168825876,0x0A101414,0,161,5,20,1
mainHand,0x19,168826880,0x0A101800,0,161,6,0,15
mainHand,0x19,168826881,0x0A101801,0,161,6,1,3
mainHand,0x19,168826882,0x0A101802,0,161,6,2,11
mainHand,0x19,168826883,0x0A101803,0,161,6,3,3
mainHand,0x19,168826884,0x0A101804,0,161,6,4,4
mainHand,0x19,168826885,0x0A101805,0,161,6,5,1
mainHand,0x19,168826890,0x0A10180A,0,161,6,10,1
mainHand,0x19,169870336,0x0A200400,0,162,1,0,5
mainHand,0x19,170918942,0x0A30041E,0,163,1,30,1
mainHand,0x19,171967488,0x0A400400,0,164,1,0,6
mainHand,0x19,171968512,0x0A400800,0,164,2,0,6
mainHand,0x19,171969536,0x0A400C00,0,164,3,0,6
mainHand,0x19,173016064,0x0A500400,0,165,1,0,2
mainHand,0x19,173016065,0x0A500401,0,165,1,1,2
mainHand,0x19,210764800,0x0C900400,0,201,1,0,3
mainHand,0x19,210764810,0x0C90040A,0,201,1,10,2
mainHand,0x19,210764820,0x0C900414,0,201,1,20,27
mainHand,0x19,210764830,0x0C90041E,0,201,1,30,8
mainHand,0x19,210764840,0x0C900428,0,201,1,40,14
mainHand,0x19,210764850,0x0C900432,0,201,1,50,6
mainHand,0x19,210765824,0x0C900800,0,201,2,0,2
mainHand,0x19,210765825,0x0C900801,0,201,2,1,9
mainHand,0x19,210765826,0x0C900802,0,201,2,2,63
mainHand,0x19,210765827,0x0C900803,0,201,2,3,13
mainHand,0x19,210765835,0x0C90080B,0,201,2,11,10
mainHand,0x19,210765836,0x0C90080C,0,201,2,12,2
mainHand,0x19,210765837,0x0C90080D,0,201,2,13,4
mainHand,0x19,210765844,0x0C900814,0,201,2,20,27
mainHand,0x19,210766848,0x0C900C00,0,201,3,0,4
mainHand,0x19,210766849,0x0C900C01,0,201,3,1,5
mainHand,0x19,210766850,0x0C900C02,0,201,3,2,5
mainHand,0x19,210766858,0x0C900C0A,0,201,3,10,11
mainHand,0x19,210766859,0x0C900C0B,0,201,3,11,1
mainHand,0x19,210766878,0x0C900C1E,0,201,3,30,5
mainHand,0x19,210766898,0x0C900C32,0,201,3,50,14
mainHand,0x19,210766918,0x0C900C46,0,201,3,70,1
mainHand,0x19,210767872,0x0C901000,0,201,4,0,1
mainHand,0x19,210767873,0x0C901001,0,201,4,1,5
mainHand,0x19,210767882,0x0C90100A,0,201,4,10,1
mainHand,0x19,210767892,0x0C901014,0,201,4,20,11
mainHand,0x19,210767902,0x0C90101E,0,201,4,30,2
mainHand,0x19,210767912,0x0C901028,0,201,4,40,5
mainHand,0x19,210767922,0x0C901032,0,201,4,50,4
mainHand,0x19,212861952,0x0CB00400,0,203,1,0,1
mainHand,0x19,212861953,0x0CB00401,0,203,1,1,1
mainHand,0x19,243270656,0x0E800400,0,232,1,0,15
mainHand,0x19,243270657,0x0E800401,0,232,1,1,8
mainHand,0x19,243270658,0x0E800402,0,232,1,2,12
mainHand,0x19,243270659,0x0E800403,0,232,1,3,4
mainHand,0x19,243270666,0x0E80040A,0,232,1,10,14
mainHand,0x19,243270676,0x0E800414,0,232,1,20,2
mainHand,0x19,243270686,0x0E80041E,0,232,1,30,2
mainHand,0x19,243270696,0x0E800428,0,232,1,40,2
mainHand,0x19,273679360,0x10500400,0,261,1,0,2
mainHand,0x19,274699264,0x105F9400,0,261,997,0,1
mainHand,0x19,294650880,0x11900400,0,281,1,0,3
mainHand,0x19,294650892,0x1190040C,0,281,1,12,4
mainHand,0x19,294650900,0x11900414,0,281,1,20,17
mainHand,0x19,294650920,0x11900428,0,281,1,40,4
mainHand,0x19,294650930,0x11900432,0,281,1,50,2
mainHand,0x19,294650940,0x1190043C,0,281,1,60,3
mainHand,0x19,294650960,0x11900450,0,281,1,80,1
mainHand,0x19,294650970,0x1190045A,0,281,1,90,3
mainHand,0x19,294651010,0x11900482,0,281,1,130,2
mainHand,0x19,294651904,0x11900800,0,281,2,0,1
mainHand,0x19,294651944,0x11900828,0,281,2,40,1
mainHand,0x19,294651964,0x1190083C,0,281,2,60,10
mainHand,0x19,294651984,0x11900850,0,281,2,80,5
mainHand,0x19,294652928,0x11900C00,0,281,3,0,22
mainHand,0x19,294652948,0x11900C14,0,281,3,20,4
mainHand,0x19,294652958,0x11900C1E,0,281,3,30,7
mainHand,0x19,294652968,0x11900C28,0,281,3,40,1
mainHand,0x19,310379520,0x12800400,0,296,1,0,4
mainHand,0x19,310379550,0x1280041E,0,296,1,30,38
mainHand,0x19,310379560,0x12800428,0,296,1,40,3
mainHand,0x19,310379570,0x12800432,0,296,1,50,16
mainHand,0x19,310379580,0x1280043C,0,296,1,60,30
mainHand,0x19,310379590,0x12800446,0,296,1,70,5
mainHand,0x19,310379600,0x12800450,0,296,1,80,9
mainHand,0x19,310379610,0x1280045A,0,296,1,90,1
mainHand,0x19,310379620,0x12800464,0,296,1,100,7
mainHand,0x19,310379630,0x1280046E,0,296,1,110,1
mainHand,0x19,310379640,0x12800478,0,296,1,120,1
mainHand,0x19,310380544,0x12800800,0,296,2,0,2
mainHand,0x19,331351042,0x13C00402,0,316,1,2,47
mainHand,0x19,331351044,0x13C00404,0,316,1,4,13
mainHand,0x19,331351045,0x13C00405,0,316,1,5,6
