folder,icon_id,archive_path,bytes,width,height,placeholder
0,0,0\icon00000.png,14196,128,128,1
0,1,0\icon00001.png,5285,64,64,0
0,2,0\icon00002.png,5714,64,64,0
0,3,0\icon00003.png,7070,64,64,0
0,4,0\icon00004.png,6827,64,64,0
0,5,0\icon00005.png,6384,64,64,0
0,6,0\icon00006.png,5314,64,64,0
0,7,0\icon00007.png,10349,128,128,0
0,8,0\icon00008.png,11329,128,128,0
0,9,0\icon00009.png,14396,128,128,0
0,10,0\icon00010.png,15096,128,128,0
0,11,0\icon00011.png,13810,128,128,0
0,12,0\icon00012.png,14448,128,128,0
0,13,0\icon00013.png,11389,128,128,0
0,14,0\icon00014.png,18801,128,128,0
0,15,0\icon00015.png,13118,128,128,0
0,16,0\icon00016.png,15084,128,128,0
0,17,0\icon00017.png,13971,128,128,0
0,18,0\icon00018.png,18356,128,128,0
0,19,0\icon00019.png,18792,128,128,0
0,20,0\icon00020.png,11182,128,128,0
0,21,0\icon00021.png,14779,128,128,0
0,22,0\icon00022.png,7266,128,128,0
0,23,0\icon00023.png,18160,128,128,0
0,24,0\icon00024.png,10481,128,128,0
0,25,0\icon00025.png,3056,64,64,0
0,26,0\icon00026.png,3367,64,64,0
0,27,0\icon00027.png,1436,64,64,0
0,28,0\icon00028.png,7635,80,80,0
0,29,0\icon00029.png,17277,128,128,0
0,30,0\icon00030.png,3256,64,64,0
0,31,0\icon00031.png,2519,64,64,0
0,32,0\icon00032.png,2834,64,64,0
0,33,0\icon00033.png,3366,64,64,0
0,34,0\icon00034.png,3303,64,64,0
0,35,0\icon00035.png,3121,64,64,0
0,36,0\icon00036.png,3107,64,64,0
0,37,0\icon00037.png,3120,64,64,0
0,38,0\icon00038.png,3178,64,64,0
0,39,0\icon00039.png,221,64,64,0
0,40,0\icon00040.png,6322,64,64,0
0,41,0\icon00041.png,3256,64,64,0
0,42,0\icon00042.png,2853,64,64,0
0,43,0\icon00043.png,3447,64,64,0
0,44,0\icon00044.png,1653,64,64,0
0,45,0\icon00045.png,4037,64,64,0
0,46,0\icon00046.png,3942,64,64,0
0,47,0\icon00047.png,14196,128,128,1
0,48,0\icon00048.png,14196,128,128,1
0,49,0\icon00049.png,14196,128,128,1
0,50,0\icon00050.png,14196,128,128,1
0,51,0\icon00051.png,8883,64,64,0
0,52,0\icon00052.png,6773,64,64,0
0,53,0\icon00053.png,9353,64,64,0
0,54,0\icon00054.png,7978,64,64,0
0,55,0\icon00055.png,3872,64,64,0
0,56,0\icon00056.png,3714,64,64,0
0,57,0\icon00057.png,3806,64,64,0
0,58,0\icon00058.png,3674,64,64,0
0,59,0\icon00059.png,3566,64,64,0
0,60,0\icon00060.png,4061,64,64,0
0,61,0\icon00061.png,6539,64,64,0
0,62,0\icon00062.png,4401,64,64,0
0,63,0\icon00063.png,5914,64,64,0
0,64,0\icon00064.png,4812,64,64,0
0,65,0\icon00065.png,3698,64,64,0
0,66,0\icon00066.png,3963,64,64,0
0,67,0\icon00067.png,3573,64,64,0
0,68,0\icon00068.png,2950,64,64,0
0,69,0\icon00069.png,4153,64,64,0
0,70,0\icon00070.png,4111,64,64,0
0,71,0\icon00071.png,4734,64,64,0
0,72,0\icon00072.png,4183,64,64,0
0,73,0\icon00073.png,2791,64,64,0
0,74,0\icon00074.png,3185,64,64,0
0,75,0\icon00075.png,3526,64,64,0
0,76,0\icon00076.png,3961,64,64,0
0,77,0\icon00077.png,2792,64,64,0
0,78,0\icon00078.png,3738,64,64,0
0,79,0\icon00079.png,4776,64,64,0
0,80,0\icon00080.png,3114,64,64,0
0,81,0\icon00081.png,4340,64,64,0
0,82,0\icon00082.png,3600,64,64,0
0,83,0\icon00083.png,3921,64,64,0
0,84,0\icon00084.png,3870,64,64,0
0,85,0\icon00085.png,4911,64,64,0
0,86,0\icon00086.png,3850,64,64,0
0,87,0\icon00087.png,4167,64,64,0
0,88,0\icon00088.png,3069,64,64,0
0,89,0\icon00089.png,3916,64,64,0
0,90,0\icon00090.png,3456,64,64,0
0,91,0\icon00091.png,4013,64,64,0
0,92,0\icon00092.png,3257,64,64,0
0,93,0\icon00093.png,4401,64,64,0
0,94,0\icon00094.png,3317,64,64,0
0,95,0\icon00095.png,3665,64,64,0
0,96,0\icon00096.png,3607,64,64,0
0,97,0\icon00097.png,3110,64,64,0
0,98,0\icon00098.png,4187,64,64,0
0,99,0\icon00099.png,3234,64,64,0
0,100,0\icon00100.png,3706,64,64,0
0,101,0\icon00101.png,4626,64,64,0
0,102,0\icon00102.png,4180,64,64,0
0,103,0\icon00103.png,4047,64,64,0
0,104,0\icon00104.png,2764,32,32,0
0,105,0\icon00105.png,1651,32,32,0
0,106,0\icon00106.png,2628,32,32,0
0,107,0\icon00107.png,2807,32,32,0
0,108,0\icon00108.png,2926,32,32,0
0,109,0\icon00109.png,8364,64,64,0
0,110,0\icon00110.png,5473,64,64,0
0,111,0\icon00111.png,2722,32,32,0
0,112,0\icon00112.png,1480,32,32,0
0,113,0\icon00113.png,1558,32,32,0
0,114,0\icon00114.png,1823,32,32,0
0,115,0\icon00115.png,2321,32,32,0
0,116,0\icon00116.png,2450,32,32,0
0,117,0\icon00117.png,2713,32,32,0
0,118,0\icon00118.png,1699,32,32,0
0,119,0\icon00119.png,1708,32,32,0
0,120,0\icon00120.png,2529,32,32,0
0,121,0\icon00121.png,2914,32,32,0
0,122,0\icon00122.png,3253,32,32,0
0,123,0\icon00123.png,6817,64,64,0
0,124,0\icon00124.png,7201,64,64,0
0,125,0\icon00125.png,2709,32,32,0
0,126,0\icon00126.png,2566,32,32,0
0,127,0\icon00127.png,2209,32,32,0
0,128,0\icon00128.png,20134,128,128,0
0,129,0\icon00129.png,19237,128,128,0
0,130,0\icon00130.png,20347,128,128,0
0,131,0\icon00131.png,19448,128,128,0
0,132,0\icon00132.png,14196,128,128,1
0,133,0\icon00133.png,14196,128,128,1
0,134,0\icon00134.png,21121,128,128,0
0,135,0\icon00135.png,22504,128,128,0
0,136,0\icon00136.png,19405,128,128,0
0,137,0\icon00137.png,17743,128,128,0
0,138,0\icon00138.png,14196,128,128,1
0,139,0\icon00139.png,14196,128,128,1
0,140,0\icon00140.png,14196,128,128,1
0,141,0\icon00141.png,14196,128,128,1
0,142,0\icon00142.png,14196,128,128,1
0,143,0\icon00143.png,14196,128,128,1
0,144,0\icon00144.png,14196,128,128,1
0,145,0\icon00145.png,14196,128,128,1
0,146,0\icon00146.png,14196,128,128,1
0,147,0\icon00147.png,14196,128,128,1
0,148,0\icon00148.png,14196,128,128,1
0,149,0\icon00149.png,14196,128,128,1
0,150,0\icon00150.png,20464,128,128,0
0,151,0\icon00151.png,20441,128,128,0
0,152,0\icon00152.png,22194,128,128,0
0,153,0\icon00153.png,19942,128,128,0
0,154,0\icon00154.png,14196,128,128,1
0,155,0\icon00155.png,14196,128,128,1
0,156,0\icon00156.png,14196,128,128,1
0,157,0\icon00157.png,14196,128,128,1
0,158,0\icon00158.png,14196,128,128,1
