source_sheet,resource_path,resource_instance,ui_class,visibility,row_count,first_row_id,last_row_id
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00001,,,1,0,0
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00002,,,1,1,1
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00003,,,1,2,2
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00004,,,1,3,3
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00005,,,1,4,4
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00007,,,1,5,5
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00008,,,1,6,6
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00030,,,1,7,7
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00039,,,1,8,8
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00040,,,1,9,9
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00044,,,1,12,12
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00046,,,1,10,10
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00048,,,1,11,11
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00054,,,1,13,13
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00055,,,1,14,14
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00056,,,1,15,15
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00057,,,1,16,16
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00058,,,1,17,17
2Dmap_actor_data.csv,common/mapMarker.le.spk,m00059,,,1,18,18
2Dmap_marker.csv,common/mapMarker.le.spk,m00011,MapMarker,Collapsed,14,1402,4151
2Dmap_marker.csv,common/mapMarker.le.spk,m00011,MapMarker,Visible,34,1015,5007
2Dmap_marker.csv,common/mapMarker.le.spk,m00011,MapMarkerAetheryte,Visible,25,501,5008
2Dmap_marker.csv,common/mapMarker.le.spk,m00011,MapMarkerRight,Visible,1,2822,2822
2Dmap_marker.csv,common/mapMarker.le.spk,m00012,MapMarker,Visible,46,1014,4154
2Dmap_marker.csv,common/mapMarker.le.spk,m00012,MapMarkerUnder,Visible,4,1726,3760
2Dmap_marker.csv,common/mapMarker.le.spk,m00016,MapMarker,Collapsed,7,1709,2816
2Dmap_marker.csv,common/mapMarker.le.spk,m00017,MapMarker,Collapsed,11,1786,2831
2Dmap_marker.csv,common/mapMarker.le.spk,m00022,MapMarkerPoint,Collapsed,120,1023,5010
