status_row_id,status_word_hex,low_wire_id_hex,high_wire_id_hex,chant_kind_1,chant_kind_2,object_bits_8_11,object_bits_14_15,object_bits_12_13
0,0x00000000,,,0,0,0,0,0
221000,0x00035F48,0x5208,0x9558,5,15,15,1,1
221001,0x00035F49,0x5209,0x9559,5,15,15,1,1
221002,0x00035F4A,0x520A,0x955A,5,15,15,1,1
221003,0x00035F4B,0x520B,0x955B,5,15,15,1,1
221004,0x00035F4C,0x520C,0x955C,5,15,15,1,1
221012,0x00035F54,0x5214,0x9564,5,15,15,1,1
221013,0x00035F55,0x5215,0x9565,5,15,15,1,1
221014,0x00035F56,0x5216,0x9566,5,15,15,1,1
221015,0x00035F57,0x5217,0x9567,5,15,15,1,1
221016,0x00035F58,0x5218,0x9568,5,15,15,1,1
221017,0x00035F59,0x5219,0x9569,5,15,15,1,1
221018,0x00035F5A,0x521A,0x956A,5,15,15,1,1
221019,0x00035F5B,0x521B,0x956B,5,15,15,1,1
221020,0x00035F5C,0x521C,0x956C,5,15,15,1,1
221021,0x00035F5D,0x521D,0x956D,5,15,15,1,1
221022,0x00035F5E,0x521E,0x956E,5,15,15,1,1
221023,0x00035F5F,0x521F,0x956F,5,15,15,1,1
221024,0x00035F60,0x5220,0x9570,5,15,15,1,1
221025,0x00035F61,0x5221,0x9571,5,15,15,1,1
221026,0x00035F62,0x5222,0x9572,5,15,15,1,1
223001,0x00036719,0x59D9,0x9D29,6,7,7,1,2
223002,0x0003671A,0x59DA,0x9D2A,6,7,7,1,2
223003,0x0003671B,0x59DB,0x9D2B,6,7,7,1,2
223004,0x0003671C,0x59DC,0x9D2C,6,7,7,1,2
223005,0x0003671D,0x59DD,0x9D2D,6,7,7,1,2
223006,0x0003671E,0x59DE,0x9D2E,6,7,7,1,2
223007,0x0003671F,0x59DF,0x9D2F,6,7,7,1,2
223008,0x00036720,0x59E0,0x9D30,6,7,7,1,2
223009,0x00036721,0x59E1,0x9D31,6,7,7,1,2
223010,0x00036722,0x59E2,0x9D32,6,7,7,1,2
223011,0x00036723,0x59E3,0x9D33,6,7,7,1,2
223012,0x00036724,0x59E4,0x9D34,6,7,7,1,2
223013,0x00036725,0x59E5,0x9D35,6,7,7,1,2
223014,0x00036726,0x59E6,0x9D36,6,7,7,1,2
223015,0x00036727,0x59E7,0x9D37,6,7,7,1,2
