name,resource_id,resource_id_hex,source
2Dmap_actor_data,16974300,0x010301DC,game_schema
2Dmap_data,16974680,0x01030358,game_schema
2Dmap_marker,16974684,0x0103035C,game_schema
2Dmap_piece,16974688,0x01030360,game_schema
InstanceRaidHamletDefense,60958688,0x03A227E0,extrasheets
PopulaceHamletCaptain,60958640,0x03A227B0,extrasheets
_boot_error_type,16974930,0x01030452,game_schema
_group,16974340,0x01030204,game_schema
_item,16974350,0x0103020E,game_schema
_layout,16974943,0x0103045F,game_schema
_movie,60948495,0x03A2000F,extrasheets
_quest,16974969,0x01030479,game_schema
_region,16975059,0x010304D3,game_schema
_staffroll,60948545,0x03A20041,extrasheets
_text_error_type,16973842,0x01030012,game_schema
_worldMasterLogCategory,16974962,0x01030472,game_schema
_zoneParam,16973861,0x01030025,game_schema
accessory,16973825,0x01030001,game_schema
achievement,16975256,0x01030598,game_schema
acn200,60948631,0x03A20097,extrasheets
acn300,60948635,0x03A2009B,extrasheets
acn306,60948639,0x03A2009F,extrasheets
acn400,60948643,0x03A200A3,extrasheets
acn500,60948701,0x03A200DD,extrasheets
acn506,60948705,0x03A200E1,extrasheets
actorclass,16973832,0x01030008,game_schema
actorclass_graphic,16973890,0x01030042,game_schema
actorclass_mapObj,16973933,0x0103006D,game_schema
aetheryte,16973902,0x0103004E,game_schema
aetheryteChild,60948779,0x03A2012B,extrasheets
aetheryteParent,60948783,0x03A2012F,extrasheets
aetheryte_2Dmap,16974982,0x01030486,game_schema
alc200,60948815,0x03A2014F,extrasheets
alc300,60949863,0x03A20567,extrasheets
alc306,60949876,0x03A20574,extrasheets
alc400,60949889,0x03A20581,extrasheets
alc500,60949902,0x03A2058E,extrasheets
alc506,60949915,0x03A2059B,extrasheets
arc200,60948827,0x03A2015B,extrasheets
arc300,60948831,0x03A2015F,extrasheets
arc306,60948835,0x03A20163,extrasheets
arc400,60948839,0x03A20167,extrasheets
arc500,60948843,0x03A2016B,extrasheets
arc506,60948847,0x03A2016F,extrasheets
armor,16973977,0x01030099,game_schema
beaconFortGateGimmick,60958912,0x03A228C0,extrasheets
blackMarket,16975293,0x010305BD,game_schema
blm0j1,60957092,0x03A221A4,extrasheets
blm0j2,60957108,0x03A221B4,extrasheets
blm0j3,60957124,0x03A221C4,extrasheets
blm0j4,60957140,0x03A221D4,extrasheets
blm0j5,60957156,0x03A221E4,extrasheets
blm0j6,60957172,0x03A221F4,extrasheets
blm0j7,60957188,0x03A22204,extrasheets
blm0j8,60957204,0x03A22214,extrasheets
blm0j9,60957220,0x03A22224,extrasheets
blm1j0,60957236,0x03A22234,extrasheets
bookShelf,60951213,0x03A20AAD,extrasheets
boot_charaLook,16973949,0x0103007D,game_schema
boot_charaParts,16974891,0x0103042B,game_schema
boot_charaTemp,16973867,0x0103002B,game_schema
boot_skillequip,16973953,0x01030081,game_schema
brd0j1,60956772,0x03A22064,extrasheets
brd0j2,60956788,0x03A22074,extrasheets
brd0j3,60956804,0x03A22084,extrasheets
brd0j4,60956820,0x03A22094,extrasheets
brd0j5,60956836,0x03A220A4,extrasheets
brd0j6,60956852,0x03A220B4,extrasheets
brd0j7,60956868,0x03A220C4,extrasheets
brd0j8,60956884,0x03A220D4,extrasheets
brd0j9,60956900,0x03A220E4,extrasheets
brd1j0,60956916,0x03A220F4,extrasheets
bsm200,60948582,0x03A20066,extrasheets
bsm300,60948709,0x03A200E5,extrasheets
bsm306,60948729,0x03A200F9,extrasheets
bsm400,60948713,0x03A200E9,extrasheets
bsm500,60948717,0x03A200ED,extrasheets
bsm506,60948721,0x03A200F1,extrasheets
chocoboCaravanGuard,60956160,0x03A21E00,extrasheets
cnj200,60948959,0x03A201DF,extrasheets
cnj300,60948963,0x03A201E3,extrasheets
cnj306,60948967,0x03A201E7,extrasheets
cnj400,60948971,0x03A201EB,extrasheets
cnj500,60948975,0x03A201EF,extrasheets
